Product	Product information				One-to-one comparison					Source			Individual analyte levels reported																			Additional information		Supporting fields for one-to-one comparison			DRI	
	Category	Country	Reported packaging type	Sample size (n)	Summarized findings (ng/serving)	Compounds tested	Phthalates (ng/serving)	Phthalate substitutes (ng/serving)	Bisphenols (ng/serving)	Author	Title	Published	Reporting format	Mean DBP (ng/g)	Mean BBP (ng/g)	Mean DEHP (ng/g)	Mean DINP (ng/g)	Mean DIDP (ng/g)	Mean DMP (ng/g)	Mean DEP (ng/g)	Mean DIBP (ng/g)	Mean DNHP (ng/g)	Mean DCHP (ng/g)	Mean DNOP (ng/g)	Mean DIDA (ng/g)	Mean DEHA (ng/g)	Mean DINCH (ng/g)	Mean DEHT (ng/g)	Mean BPA (ng/g)	Mean BPS (ng/g)	Mean BPF (ng/g)	Serving size (g)	Notes	Phthalates (n)	Phthalate substitutes (n)	Bisphenols (n)	Created	Reviewed
Taco meat (beef) sample 2 (School Lunch)	Fast food	USA	Tray with plastic film	1	116,900 ng/serving for 1 phthalate substitutes	Phthalate subsitutes: DEHA	0	116,900	0	Cohen et al.	Phthalates, adipates, BPA, and pesticides in school meals	2023	direct measurement	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1,670	N/A	N/A	N/A	N/A	N/A	70		0	1	0	Richel	Yaroslav
Pizza sample 2 (School Lunch)	Fast food	USA	Tray with plastic film	1	330,300 ng/serving for 1 phthalate substitutes	Phthalate subsitutes: DEHA	0	330,300	0	Cohen et al.	Phthalates, adipates, BPA, and pesticides in school meals	2023	direct measurement	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3,670	N/A	N/A	N/A	N/A	N/A	90		0	1	0	Richel	Yaroslav
Pizza sample 2 (School Lunch)	Fast food	USA	Plastic wrap (frozen)	1	53,100 ng/serving for 1 phthalate substitutes	Phthalate subsitutes: DEHA	0	53,100	0	Cohen et al.	Phthalates, adipates, BPA, and pesticides in school meals	2023	direct measurement	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	590	N/A	N/A	N/A	N/A	N/A	90		0	1	0	Richel	Yaroslav
Pizza sample 2 (School Lunch)	Fast food	USA	Plastic wrap (frozen)	1	7,200 ng/serving for 1 phthalate substitutes	Phthalate subsitutes: DEHA	0	7,200	0	Cohen et al.	Phthalates, adipates, BPA, and pesticides in school meals	2023	direct measurement	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	80	N/A	N/A	N/A	N/A	N/A	90		0	1	0	Richel	Yaroslav
Hamburger	Fast food	USA	Original packaging	21	4,350 ng/serving for 7 phthalates 220,670 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DEP, DIBP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	4,350	220,670	0	Edwards et al.	Phthalate and novel plasticizer concentrations in food items from U.S. fast food chains: a preliminary analysis	2021	median	4.8	0	36	0	N/A	N/A	0	2.7	N/A	N/A	0	N/A	6.7	0	2,200	N/A	N/A	N/A	100		7	3	0	Richel	Yaroslav
French Fries	Fast food	USA	Original packaging	10	2,499 ng/serving for 7 phthalates 0 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DEP, DIBP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	2,499	0	0	Edwards et al.	Phthalate and novel plasticizer concentrations in food items from U.S. fast food chains: a preliminary analysis	2021	median	4.5	0	23.7	0	N/A	N/A	0	1.2	N/A	N/A	0	N/A	0	0	0	N/A	N/A	N/A	85		7	3	0	Richel	Yaroslav
Chicken Burritos	Fast food	USA	Original packaging	14	12,500 ng/serving for 7 phthalates 1,209,140 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DEP, DIBP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	12,500	1,209,140	0	Edwards et al.	Phthalate and novel plasticizer concentrations in food items from U.S. fast food chains: a preliminary analysis	2021	median	3.5	0	23	36	N/A	N/A	0	0	N/A	N/A	0	N/A	45.7	0	6,000	N/A	N/A	N/A	200		7	3	0	Richel	Yaroslav
Cheese Pizza	Fast food	USA	Original packaging	8	1,071 ng/serving for 7 phthalates 0 ng/serving for 2 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DEP, DIBP, DNOP Phthalate substitutes: DEHA, DINCH	1,071	0	0	Edwards et al.	Phthalate and novel plasticizer concentrations in food items from U.S. fast food chains: a preliminary analysis	2021	median	4.1	0	0	5.9	N/A	N/A	0	1.9	N/A	N/A	0	N/A	0	0	N/A	N/A	N/A	N/A	90		7	2	0	Richel	Yaroslav
Chicken Nuggets	Fast food	USA	Original packaging	7	2,840 ng/serving for 7 phthalates 0 ng/serving for 2 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DEP, DIBP, DNOP Phthalate substitutes: DEHA, DINCH	2,840	0	0	Edwards et al.	Phthalate and novel plasticizer concentrations in food items from U.S. fast food chains: a preliminary analysis	2021	median	2.4	0	26	0	N/A	N/A	0	0	N/A	N/A	0	N/A	0	0	N/A	N/A	N/A	N/A	100		7	2	0	Richel	Yaroslav
Hamburger Patties	Fast food	USA	Original packaging	4	3,050 ng/serving for 7 phthalates 1,630 ng/serving for 2 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DEP, DIBP, DNOP Phthalate substitutes: DEHA, DINCH	3,050	1,630	0	Edwards et al.	Phthalate and novel plasticizer concentrations in food items from U.S. fast food chains: a preliminary analysis	2021	median	0	0	14	0	N/A	N/A	16.5	0	N/A	N/A	0	N/A	0	16.3	N/A	N/A	N/A	N/A	100		7	2	0	Richel	Yaroslav
Brie	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 1,800,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	1,800,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	60,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Cheddar, sharp white	Dairy	Canada	Cling film	1	45,000 ng/serving for 1 phthalates 11,940,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	45,000	11,940,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	1,500	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	398,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Marble Cheddar	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 10,170,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	10,170,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	339,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Mild marble Cheddar	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 13,050,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	13,050,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	435,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 4,530,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	4,530,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	151,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Cheddar, 2 yr old	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 26,370,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	26,370,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	879,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 2,550,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	2,550,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	85,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Marble Cheddar	Dairy	Canada	Cling film	1	8,700 ng/serving for 1 phthalates 14,010,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	8,700	14,010,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	290	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	467,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 4,860,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	4,860,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	162,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 6,150,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	6,150,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	205,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Cheddar, old	Dairy	Canada	Rigid plastic	1	0 ng/serving for 1 phthalates 0 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	0	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Marble Cheddar, sliced	Dairy	Canada	Cling film over tray	1	0 ng/serving for 1 phthalates 7,140,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	7,140,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	238,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie, double cream	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 1,410,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	1,410,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	47,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie, double cream	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 990,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	990,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	33,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Marble Cheddar, sliced	Dairy	Canada	Cling film over tray	1	0 ng/serving for 1 phthalates 9,300,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	9,300,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	310,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie, extra old	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 2,130,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	2,130,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	71,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Cheddar, extra old	Dairy	Canada	Rigid plastic	1	102,000 ng/serving for 1 phthalates 0 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	102,000	0	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	3,400	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 2,490,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	2,490,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	83,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Cheddar, aged	Dairy	Canada	Rigid plastic	1	0 ng/serving for 1 phthalates 0 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	0	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Camembert	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 630,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	630,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	21,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Marble Cheddar	Dairy	Canada	Rigid plastic	1	0 ng/serving for 1 phthalates 0 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	0	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Cheddar, extra old	Dairy	Canada	Rigid plastic	1	0 ng/serving for 1 phthalates 0 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	0	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Ivanhoe old sharp	Dairy	Canada	Cling film	1	39,000 ng/serving for 1 phthalates 10,980,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	39,000	10,980,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	1,300	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	366,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Camembert	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 1,500,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	1,500,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie, double cream	Dairy	Canada	Cling film	1	11,400 ng/serving for 1 phthalates 3,330,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	11,400	3,330,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	380	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	111,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Camembert	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 450,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	450,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Marble Cheddar	Dairy	Canada	Rigid plastic	1	0 ng/serving for 1 phthalates 0 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	0	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Camembert	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 480,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	480,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	16,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Cheddar block, mild, raw cow's milk	Dairy	Canada	Cling film	1	27,300 ng/serving for 1 phthalates 10,140,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	27,300	10,140,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	910	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	338,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
La Mame Du Lac	Dairy	Canada	Cling film	1	450,000 ng/serving for 1 phthalates 21,300 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	450,000	21,300	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	15,000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	710	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Camembert	Dairy	Canada	Cling film	1	30,000 ng/serving for 1 phthalates 1,980,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	30,000	1,980,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	1,000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	66,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Cheddar, old	Dairy	Canada	Rigid plastic	1	28,200 ng/serving for 1 phthalates 0 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	28,200	0	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	940	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie, double cream	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 2,910,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	2,910,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	97,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Marble mild Cheddar	Dairy	Canada	Rigid plastic	1	0 ng/serving for 1 phthalates 0 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	0	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie, double cream	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 6,180,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	6,180,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	206,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Brie, triple cream	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 3,480,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	3,480,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	116,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Marble Cheddar, sliced	Dairy	Canada	Cling film over tray	1	0 ng/serving for 1 phthalates 20,580,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	20,580,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	686,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Cheddar, old	Dairy	Canada	Rigid plastic	1	0 ng/serving for 1 phthalates 0 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	0	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Camembert	Dairy	Canada	Cling film	1	0 ng/serving for 1 phthalates 840,000 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	840,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	28,000	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Marble	Dairy	Canada	Rigid plastic	1	0 ng/serving for 1 phthalates 0 ng/serving for 1 phthalate substitutes	Phthalates: DEHP Phthalate substitutes: DEHA	0	0	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	30		1	1	0	Richel	Yaroslav
Pork loin center chop, boneless	Meat and poultry	Canada	Cling film over tray	1	3,300,000 ng/serving for 1 phthalate substitutes	Phthalate substitutes: DEHA	0	3,300,000	0	Cao et al.	Occurrence of Di-(2-Ethylhexyl) Adipate and Phthalate Plasticizers in Samples of Meat, Fish, and Cheese and Their Packaging Films	2014	direct measurement	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	33,000	N/A	N/A	N/A	N/A	N/A	100		0	1	0	Richel	Yaroslav
